candidate_id,representative_path,image_count,matches,suggested_confidence,status,notes
evo_group_001,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_3\frame_000550_t000275014ms.jpg,31,match_004;match_005;match_006,0.7788430266203703,rejected,
evo_group_002,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_005\slot_4\frame_000079_t000039514ms.jpg,14,match_005;match_006,0.675119693202001,rejected,
evo_group_003,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_2\frame_000614_t000307003ms.jpg,1,match_006,0.6356268269220988,rejected,auto-filtered: greyed/unaffordable
evo_group_004,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_3\frame_000356_t000178012ms.jpg,1,match_004,0.63,rejected,auto-filtered: greyed/unaffordable
evo_group_005,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_3\frame_000542_t000271009ms.jpg,1,match_006,0.6193136145875409,rejected,auto-filtered: greyed/unaffordable
evo_group_006,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_002\slot_2\frame_000006_t000003010ms.jpg,1,match_002,0.6036817762586806,rejected,auto-filtered: greyed/unaffordable
evo_group_007,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_005\slot_4\frame_000095_t000047503ms.jpg,1,match_005,0.55,rejected,auto-filtered: greyed/unaffordable
evo_group_008,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_2\frame_000167_t000083502ms.jpg,1,match_004,0.5344970883969906,rejected,auto-filtered: greyed/unaffordable
evo_group_009,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_3\frame_000552_t000276007ms.jpg,1,match_006,0.5335805343063893,rejected,auto-filtered: greyed/unaffordable
evo_group_010,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_003\slot_3\frame_000276_t000138007ms.jpg,116,match_003;match_004;match_006,0.5237237383868244,rejected,auto-filtered: greyed/unaffordable
evo_group_011,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_005\slot_4\frame_000075_t000037508ms.jpg,1,match_005,0.47659024476817013,rejected,auto-filtered: greyed/unaffordable
evo_group_012,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_2\frame_000106_t000053009ms.jpg,16,match_002;match_003;match_004;match_006,0.46144573031531444,rejected,auto-filtered: greyed/unaffordable
evo_group_013,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_2\frame_000613_t000306507ms.jpg,1,match_006,0.4585677083333334,rejected,auto-filtered: greyed/unaffordable
evo_group_014,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_003\slot_4\frame_000056_t000028006ms.jpg,6,match_003;match_004;match_006,0.4488600267834134,rejected,auto-filtered: greyed/unaffordable
evo_group_015,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_1\frame_000176_t000088009ms.jpg,1,match_006,0.44728904798295765,rejected,
evo_group_016,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_2\frame_000114_t000057007ms.jpg,5,match_002;match_004;match_006,0.44255101288689513,rejected,
evo_group_017,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_2\frame_000115_t000057509ms.jpg,5,match_002;match_004;match_006,0.44210560819837785,rejected,
evo_group_018,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_2\frame_000119_t000059516ms.jpg,9,match_002;match_003;match_004;match_006,0.4419956353505452,rejected,auto-filtered: greyed/unaffordable
evo_group_019,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_003\slot_4\frame_000058_t000029017ms.jpg,4,match_003;match_004;match_006,0.44045321284400096,rejected,auto-filtered: greyed/unaffordable
evo_group_020,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_004\slot_2\frame_000102_t000051001ms.jpg,2,match_004;match_006,0.4374391304651897,rejected,auto-filtered: greyed/unaffordable
evo_group_021,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_002\slot_2\frame_000113_t000056508ms.jpg,1,match_002,0.4308721582624647,rejected,auto-filtered: greyed/unaffordable
evo_group_022,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_002\slot_2\frame_000112_t000056012ms.jpg,2,match_002;match_004,0.4306250718434652,rejected,auto-filtered: greyed/unaffordable
evo_group_023,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_1\frame_000173_t000086502ms.jpg,1,match_006,0.4297103842629326,rejected,auto-filtered: greyed/unaffordable
evo_group_024,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_003\slot_4\frame_000060_t000030011ms.jpg,1,match_003,0.42422975042131217,rejected,auto-filtered: greyed/unaffordable
evo_group_025,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_006\slot_2\frame_000565_t000282510ms.jpg,1,match_006,0.35829913165118243,rejected,auto-filtered: lacks Evo cyan/purple artwork
evo_group_026,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_003\slot_3\frame_000277_t000138504ms.jpg,2,match_003;match_006,0.3468617439155464,rejected,auto-filtered: lacks Evo cyan/purple artwork
evo_group_027,C:\Users\Alexander\OneDrive\Documents\ClashRoyale\katacr_lite_starter\data\card_slots\match_005\slot_4\frame_000096_t000048004ms.jpg,1,match_005,0.2675675675675676,rejected,auto-filtered: lacks Evo cyan/purple artwork
